question,keyword,answer
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일, 평균, 섭취량","한국인의 나트륨 일일 평균 섭취량은 약 4,500mg입니다. 이는 세계보건기구(WHO)에서 권장하는 나트륨 섭취량의 2배에 해당합니다. 나트륨 섭취량이 과다하면 고혈압, 심혈관 질환 등의 건강 문제가 발생할 수 있으므로 적절한 섭취량을 유지하는 것이 중요합니다. [기사: ""한국인의 나트륨 섭취량, 세계보건기구 기준의 2배""](기사 링크)"
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일, 평균, 섭취량",한국인의 나트륨 일일 평균 섭취량은 3038mg입니다.
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일, 평균, 섭취량",한국인의 나트륨 일일 평균 섭취량은 3038mg입니다.
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일, 평균, 섭취량","한국인의 나트륨 일일 평균 섭취량은 알려진 바에 따르면 3,400mg입니다. 기사: ""한국인의 나트륨 섭취량이 높아지고 있는 것으로 나타났습니다. 한국인의 일일 나트륨 섭취량은 평균 3,400mg로, 세계보건기구(WHO)가 권장하는 최대 섭취량인 2,000mg를 크게 초과합니다."""
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일, 평균, 섭취량",한국인의 평균 일일 나트륨 섭취량은 3038mg입니다.
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일 평균, 섭취량, 알려줘","한국인의 일일 평균 나트륨 섭취량은 대략 3,400mg입니다. 이는 세계보건기구(WHO)가 권장하는 나트륨 섭취량인 2,000mg 이상을 크게 초과하고 있습니다. 이러한 과다한 나트륨 섭취는 고혈압, 심장병, 뇌졸중 등의 건강 문제를 유발할 수 있습니다."
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일, 평균, 섭취량",한국인의 나트륨 일일 평균 섭취량은 3038mg 입니다.
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일, 평균, 섭취량, 알려줘","한국인의 일일 평균 나트륨 섭취량은 약 4,600mg입니다."
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일, 평균, 섭취량, 알려줘","한국인의 일일 평균 나트륨 섭취량은 약 4,500mg입니다. 이는 세계보건기구(WHO)가 권장하는 하루 최대 나트륨 섭취량(2,000mg)의 2배에 가까운 수치입니다. 나트륨 섭취량이 과다하면 고혈압, 심장병, 뇌졸중 등의 질병 위험이 증가할 수 있습니다. 따라서 나트륨 섭취량을 적절히 조절하는 것이 중요합니다."
한국인 나트륨 일일 평균 섭취량을 알려줘.,"한국인, 나트륨, 일일 평균 섭취량",한국인의 나트륨 일일 평균 섭취량은 2021년 기준으로 약 3038mg입니다. 이는 세계보건기구(WHO)의 권장량인 2000mg에 비해 약 1.5배 높은 수준입니다.
전청조는 얼마 사기쳤어?,"전청조, 사기액수, 알려줘.",전청조와 관련된 사기액수에 대해 알려드릴게요. 하지만 주어진 기사에는 전청조나 사기액수에 대한 정보가 없습니다. 따라서 해당 질문에 대한 답변을 드릴 수 없습니다. 죄송합니다.
전청조는 얼마 사기쳤어?,"전청조, 사기","전청조는 사기로 구속되었으며, 현재까지 확인된 피해자는 32명이고 피해액은 36억9000여만원입니다."
전청조는 얼마 사기쳤어?,"전청조, 사기금액",28억원
전청조는 얼마 사기쳤어?,"전청조, 사기","전청조는 사기 혐의로 구속되었으며, 현재까지 확인된 피해자는 32명이고 피해액은 36억9000여만원입니다. (기사 6번째)"
전청조는 얼마 사기쳤어?,"전청조, 사기",전청조는 사기로 구속된 피의자입니다.
전청조는 얼마 사기쳤어?,"전청조, 사기, 금액",28억원
전청조는 얼마 사기쳤어?,"전청조, 사기, 얼마","기사에 따르면, 전청조는 약 19억 원을 투자금 명목으로 수십 명에게 사기를 치고 받았다고 합니다."
전청조는 얼마 사기쳤어?,"전청조, 사기, 금액",전청조는 사기로 28억원을 편취했다는 주장이 제기되었습니다.
전청조는 얼마 사기쳤어?,"전청조, 사기, 얼마","남현희와 전청조의 관계에서 전청조가 사기를 저지른 금액에 대해는 기사에서 언급되지 않았습니다. 따라서, 전청조가 저지른 사기의 양에 대한 정보는 알 수 없습니다."
전청조는 얼마 사기쳤어?,"전청조, 사기.",전청조는 사기 혐의로 구속된 사건이 발생했습니다.
